case_index,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,config,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes
65,65,2,42,9,127,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10382,896
66,66,2,42,9,129,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10382,896
67,67,2,42,9,130,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10382,896
68,68,2,42,9,131,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10382,896
69,69,2,42,9,132,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10393,896
70,70,2,42,9,133,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10393,896
71,71,2,42,9,134,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10393,896
72,72,2,42,9,135,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,14.10393,896
73,73,2,42,10,138,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93087,2912
74,74,2,42,10,139,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93076,2912
75,75,2,42,10,140,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93076,2912
76,76,2,42,10,141,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93087,2912
77,77,2,42,10,142,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93087,2912
78,78,2,42,10,143,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93076,2912
79,79,2,42,10,144,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93076,2912
80,80,2,42,10,145,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,128144,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.93087,2912
81,81,3,42,2,26,2,0,9045452,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.45452,17296
82,82,3,42,2,27,2,0,9045748,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.45748,17296
83,83,3,42,2,28,2,0,9044691,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.44691,17296
84,84,3,42,2,29,2,0,9045360,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.4536,17296
85,85,3,42,2,30,2,0,9045244,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.45244,17296
86,86,3,42,2,31,2,0,9047393,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.47393,17296
87,87,3,42,2,32,2,0,9050213,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.50213,17296
88,88,3,42,2,33,2,0,9046314,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.46314,17296
89,89,3,42,2,34,2,0,9045375,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.45375,17296
