config,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,original_case_index,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes,source_kind,source_chunk,source_local_index
rv32i,77,2,42,8,122,5,0,154004,4,800,0,0,0,0,0,0,0,0,0,0,63504,77,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54004,2016,resumed_batch,batch_073_080,4
rv32i,78,2,42,8,123,5,-4,154015,4,800,0,0,0,0,0,0,0,0,0,0,63504,78,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54015,2016,resumed_batch,batch_073_080,5
rv32i,79,2,42,8,124,5,0,154004,4,800,0,0,0,0,0,0,0,0,0,0,63504,79,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54004,2016,resumed_batch,batch_073_080,6
rv32i,80,2,42,8,125,5,-4,154015,4,800,0,0,0,0,0,0,0,0,0,0,63504,80,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,1.54015,2016,resumed_batch,batch_073_080,7
rv32i,81,3,42,1,1,2,0,11732417,4,832,800,0,0,0,0,0,0,0,0,0,53408,81,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.32417,12112,resumed_batch,batch_081_088,0
rv32i,82,3,42,1,2,2,0,12377000,4,832,800,0,0,0,0,0,0,0,0,0,53408,82,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,123.77,12112,resumed_batch,batch_081_088,1
rv32i,83,3,42,1,3,2,0,11755584,4,832,800,0,0,0,0,0,0,0,0,0,53408,83,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.55584,12112,resumed_batch,batch_081_088,2
rv32i,84,3,42,1,4,2,0,11718341,4,832,800,0,0,0,0,0,0,0,0,0,53408,84,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.18341,12112,resumed_batch,batch_081_088,3
rv32i,85,3,42,1,5,2,0,11765175,4,832,800,0,0,0,0,0,0,0,0,0,53408,85,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.65175,12112,resumed_batch,batch_081_088,4
rv32i,86,3,42,1,6,2,0,11726345,4,832,800,0,0,0,0,0,0,0,0,0,53408,86,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.26345,12112,resumed_batch,batch_081_088,5
rv32i,87,3,42,1,7,2,0,11780251,4,832,800,0,0,0,0,0,0,0,0,0,53408,87,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.80251,12112,resumed_batch,batch_081_088,6
rv32i,88,3,42,1,8,2,0,11733570,4,832,800,0,0,0,0,0,0,0,0,0,53408,88,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.3357,12112,resumed_batch,batch_081_088,7
rv32i,89,3,42,1,9,2,0,11754889,4,832,800,0,0,0,0,0,0,0,0,0,53408,89,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.54889,12112,resumed_batch,batch_089_096,0
rv32i,90,3,42,1,10,2,0,11757902,4,832,800,0,0,0,0,0,0,0,0,0,53408,90,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.57902,12112,resumed_batch,batch_089_096,1
