config,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,source_local_index,original_case_index,operation,dataset_name,revision,expected_implicit_rejection,observed_algorithm_stack_bytes,profile_accounted_cycles,profile_enters,profile_exits,profile_max_depth,source_chunk,baseline_raw_cycles,delta_cycles,overhead_percent,baseline_m_total,same_m,baseline_mul,baseline_mulh,baseline_mulhsu,baseline_mulhu,baseline_div,baseline_divu,baseline_rem,baseline_remu
rv32im_fast,54,2,42,1,24,2,0,5539543,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,6,54,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539543,119,119,5,batch_048_055,5531227,8316,0.1503463878810253,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,55,2,42,1,25,2,0,5540036,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,7,55,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5540036,119,119,5,batch_048_055,5531720,8316,0.15033298865452338,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,56,2,42,4,77,3,0,6945722,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,0,56,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,13264,6945722,142,142,5,batch_056_063,6935627,10095,0.14555281014968077,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,57,2,42,4,78,3,0,6949246,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,1,57,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,13264,6949246,142,142,5,batch_056_063,6939151,10095,0.1454788921584211,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,58,2,42,4,79,3,0,6948095,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,2,58,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,13264,6948095,142,142,5,batch_056_063,6938000,10095,0.14550302680887864,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,59,2,42,4,80,3,0,6946681,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,3,59,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,13264,6946681,142,142,5,batch_056_063,6936586,10095,0.1455326871172649,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,60,2,42,4,81,3,0,6947296,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,4,60,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,13264,6947296,142,142,5,batch_056_063,6937201,10095,0.1455197852851604,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,61,2,42,4,82,3,0,6947566,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,5,61,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,13264,6947566,142,142,5,batch_056_063,6937471,10095,0.14551412178876136,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,62,2,42,4,83,3,0,6946593,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,6,62,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,13264,6946593,142,142,5,batch_056_063,6936498,10095,0.1455345334201783,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,63,2,42,4,84,3,0,6949491,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,7,63,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,13264,6949491,142,142,5,batch_056_063,6939396,10095,0.14547375592919037,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,64,2,42,4,85,3,0,6948004,4,2400,32,43776,43264,0,0,512,0,0,0,0,52256,0,64,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,False,13264,6948004,142,142,5,batch_064_071,6937909,10095,0.14550493527660857,43776,True,43264,0,0,512,0,0,0,0
rv32im_fast,65,2,42,7,107,6,-5,942330,4,1632,0,0,0,0,0,0,0,0,0,0,64576,1,65,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942330,10,10,3,batch_064_071,941452,878,0.09326019807701295,0,True,0,0,0,0,0,0,0,0
rv32im_fast,66,2,42,7,109,6,-5,942330,4,1632,0,0,0,0,0,0,0,0,0,0,64576,2,66,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942330,10,10,3,batch_064_071,941452,878,0.09326019807701295,0,True,0,0,0,0,0,0,0,0
rv32im_fast,67,2,42,7,110,6,-5,942330,4,1632,0,0,0,0,0,0,0,0,0,0,64576,3,67,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942330,10,10,3,batch_064_071,941452,878,0.09326019807701295,0,True,0,0,0,0,0,0,0,0
rv32im_fast,68,2,42,7,111,6,0,942319,4,1632,0,0,0,0,0,0,0,0,0,0,64576,4,68,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942319,10,10,3,batch_064_071,941441,878,0.09326128774931196,0,True,0,0,0,0,0,0,0,0
rv32im_fast,69,2,42,7,112,6,0,942319,4,1632,0,0,0,0,0,0,0,0,0,0,64576,5,69,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942319,10,10,3,batch_064_071,941441,878,0.09326128774931196,0,True,0,0,0,0,0,0,0,0
rv32im_fast,70,2,42,7,113,6,-5,942330,4,1632,0,0,0,0,0,0,0,0,0,0,64576,6,70,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942330,10,10,3,batch_064_071,941452,878,0.09326019807701295,0,True,0,0,0,0,0,0,0,0
rv32im_fast,71,2,42,7,114,6,0,942319,4,1632,0,0,0,0,0,0,0,0,0,0,64576,7,71,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942319,10,10,3,batch_064_071,941441,878,0.09326128774931196,0,True,0,0,0,0,0,0,0,0
rv32im_fast,72,2,42,7,115,6,0,942319,4,1632,0,0,0,0,0,0,0,0,0,0,64576,0,72,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,944,942319,10,10,3,batch_072_079,941441,878,0.09326128774931196,0,True,0,0,0,0,0,0,0,0
rv32im_fast,73,2,42,8,118,5,-4,129532,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,1,73,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129532,9,9,2,batch_072_079,128943,589,0.4567909851639872,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,74,2,42,8,119,5,-4,129532,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,2,74,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129532,9,9,2,batch_072_079,128943,589,0.4567909851639872,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,75,2,42,8,120,5,0,129521,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,3,75,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129521,9,9,2,batch_072_079,128932,589,0.456829956876493,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,76,2,42,8,121,5,0,129521,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,4,76,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129521,9,9,2,batch_072_079,128932,589,0.456829956876493,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,77,2,42,8,122,5,0,129521,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,5,77,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129521,9,9,2,batch_072_079,128932,589,0.456829956876493,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,78,2,42,8,123,5,-4,129532,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,6,78,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129532,9,9,2,batch_072_079,128943,589,0.4567909851639872,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,79,2,42,8,124,5,0,129521,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,7,79,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129521,9,9,2,batch_072_079,128932,589,0.456829956876493,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,80,2,42,8,125,5,-4,129532,4,800,0,1024,1024,0,0,0,0,0,0,0,63488,0,80,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2032,129532,9,9,2,batch_080_087,128943,589,0.4567909851639872,1024,True,1024,0,0,0,0,0,0,0
rv32im_fast,81,3,42,1,1,2,0,5538183,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,1,81,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,12464,5538183,119,119,5,batch_080_087,5529867,8316,0.1503833636505182,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,82,3,42,1,2,2,0,6166555,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,2,82,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,12464,6166555,128,128,5,batch_080_087,6157711,8844,0.14362479824077487,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,83,3,42,1,3,2,0,5538750,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,3,83,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,12464,5538750,119,119,5,batch_080_087,5530434,8316,0.15036794580678478,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,84,3,42,1,4,2,0,5538693,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,4,84,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,12464,5538693,119,119,5,batch_080_087,5530377,8316,0.15036949560581495,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,85,3,42,1,5,2,0,5538796,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,5,85,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,12464,5538796,119,119,5,batch_080_087,5530480,8316,0.1503666951150714,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,86,3,42,1,6,2,0,5540090,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,6,86,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,12464,5540090,119,119,5,batch_080_087,5531774,8316,0.150331521135896,30336,True,29824,0,0,512,0,0,0,0
