config,index,source_local_index,dataset,vsId,tgId,tcId,op,operation,return_code,phase,name,category,source,function,exclusive_cycles,inclusive_cycles,calls,exclusive_share_percent,source_chunk
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,27,polyvec_basemul_acc_montgomery_cached,basemul_acc,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_polyvec_basemul_acc_montgomery_cached,137440,137440,4,1.9778621618303975,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,28,poly_mulcache_compute,mulcache,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_mulcache_compute,45072,45072,4,0.6486190581928091,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,29,poly_reduce,explicit_reduce_convert,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_reduce,132288,132288,4,1.9037211122251136,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,30,poly_tomont,explicit_reduce_convert,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_tomont,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,31,poly_add,poly_add_sub,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_add,41072,41072,4,0.5910561314806322,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,32,poly_sub,poly_add_sub,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_sub,10268,10268,1,0.14776403287015805,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,33,poly_compress_d4,compression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_compress_d4,9740,9740,1,0.1401657265441507,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,34,poly_compress_d10,compression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_compress_d10,38984,38984,2,0.5610082837368758,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,35,poly_decompress_d4,decompression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_decompress_d4,10532,10532,1,0.1515631860331617,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,36,poly_decompress_d10,decompression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_decompress_d10,31456,31456,2,0.45267485566455895,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,37,poly_tobytes,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_tobytes,0,0,0,0.0,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,38,poly_frombytes,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_frombytes,40080,40080,4,0.5767805256560123,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,39,poly_frommsg,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_frommsg,10268,10268,1,0.14776403287015805,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,40,poly_tomsg,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_tomsg,12776,12776,1,0.18385598791869295,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,41,zeroize,zeroize,third_party/mlkem-native/mlkem/src/verify.h,mlk_zeroize,89019,89019,34,1.2810485432478182,batch_000_007
rv32im_fast,2,2,2,42,4,76,3,decapsulation,0,42,memcpy,memory_copy,firmware/mlkem_baseline/runtime.c,memcpy,9522,9522,13,0.13702854703833706,batch_000_007
rv32im_fast,3,3,3,42,4,76,4,decapsulationSeed,0,0,unclassified,unclassified,,,509,509,0,0.004188791550919411,batch_000_007
